id,url,cover_url,pdf_url,cover_path,pdf_path,title,tags,author,year,publisher,city,printing_house,pages,language,description
2533,https://tula-online.org/items/show/2533,https://tula-online.org/files/fullsize/8d404e55c758a2df6c474c09319c2c95.jpg,https://tula-online.org/files/original/241b6d02a0990c62fd28a3db41687548.pdf,cover/2533.jpg,pdf/2533.pdf,Хіба ревуть воли як ясла повні? : Роман з народнього життя · TULA,Prose|Collection Ю. Федорак,мирний панас,1955,видавництво говерля,New York,na,348,Українська,Незмінений передрук з першого женевського видання
2534,https://tula-online.org/items/show/2534,https://tula-online.org/files/fullsize/185fdf31fcf402bbca944b9d7a2f419d.jpg,https://tula-online.org/files/original/5c68590759978a151fd1be82234af1a3.pdf,cover/2534.jpg,pdf/2534.pdf,Панорама найновішої літератури в УРСР : Поезія - Проза - Критика · TULA,Literary Studies|Poetry|Prose,кошелівець іван,1963,видавництво пролог,New York,buchdruckerei und verlag biblos g.m.b.h. münchen,367,Українська,na
2535,https://tula-online.org/items/show/2535,https://tula-online.org/files/fullsize/ed04871c9f88c72b45cdf95e4b5169fa.jpg,https://tula-online.org/files/original/b71f7df3a2031f46a65c679374c34038.pdf,cover/2535.jpg,pdf/2535.pdf,Граматика Української Церковнословянської Мови Сучасної Доби У Звязку Із Староцерковнословянською Мовою. Фоно-морфольоґія · TULA,Collection Романа Ґеник-Березовського,кархут спирідон,1927,богословське наукове товариство,Lviv,na,304,Українська,Серія: Праці Богословського Наукового Товариства. Том ІІІ
2536,https://tula-online.org/items/show/2536,https://tula-online.org/files/fullsize/01f7cdf08617b8a458d0f4852973c34a.jpg,https://tula-online.org/files/original/d649385ed4a89f4fc46a2bf8c73d6ec1.pdf,cover/2536.jpg,pdf/2536.pdf,Правописний Словник (близько 40.000 слів) / видання восьме · TULA,Dictionaries|Collection Романа Ґеник-Березовського,голоскевич григорій,1952,a. bilous,New York,na,459,Українська,na
2537,https://tula-online.org/items/show/2537,https://tula-online.org/files/fullsize/9acf653014d05aff2baea8eda9ae8a73.jpg,https://tula-online.org/files/original/2c2cd559a5a8bc96c76f05608ed158cc.pdf,cover/2537.jpg,pdf/2537.pdf,Німецько-Український Кишеньковий Словник. Частина 1: Німецько-Українська · TULA,Dictionaries|Collection Романа Ґеник-Березовського,наконечна ганна,1939,отто гаррассовіц,Leipzig,a. heine gmbh. gräfenhainichen,197,Українська,Опрацьований з доруки Українського Наукового Інституту в Берліні
2538,https://tula-online.org/items/show/2538,https://tula-online.org/files/fullsize/756ff9c0fd335ff7ce5b71d6622aeb38.jpg,https://tula-online.org/files/original/9dffddd738864878ad37777b713410f4.pdf,cover/2538.jpg,pdf/2538.pdf,Сотні роковини народного письменства Руси-України · TULA,Literary Studies|Collection Романа Ґеник-Березовського,пачовский михайло,1898,товариство просвіта,Lviv,друкарня науков. товариства імени шевченка під зарядом к. беднарского,64,Українська,Памяти Івана Котляревського (сотні роковини)
2539,https://tula-online.org/items/show/2539,https://tula-online.org/files/fullsize/ba919c46e0144d3083c584a6644c1a6f.jpg,https://tula-online.org/files/original/7879c4e1ac23c275779e2c2a4f0b90fa.pdf,cover/2539.jpg,pdf/2539.pdf,Рідна Мова. Рік ІІІ. Січень 1935 року. Число 1 (25). С. 1-48 · TULA,Periodicals,огієнко іван,1935,N/A,Warszawa,друкарня оо. василіян у жовкві,48,Українська,Науково-популярний місячник / присвячений вивченню української мови
254,https://tula-online.org/items/show/254,https://diasporiana.org.ua/wp-content/uploads/books/12010/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/12010/file.pdf,cover/254.jpg,pdf/254.pdf,Координати : Антологія сучасної української поезії на заході. Том ІІ. · TULA,Poetry,бойчук богдан т.,1969,видавництво сучасність,Munich,na,487,Українська,na
2540,https://tula-online.org/items/show/2540,https://tula-online.org/files/fullsize/16e2f12966c293e49f2a382cac843a36.jpg,https://tula-online.org/files/original/9968782303831e6037783145f0a94cfd.pdf,cover/2540.jpg,pdf/2540.pdf,Рідна Мова. Рік ІІІ. Лютий 1935 року. Число 2 (26). С. 49-96 · TULA,Periodicals,огієнко іван,1935,N/A,Warszawa,друкарня оо. василіян у жовкві,48,Українська,Науково-популярний місячник / присвячений вивченню української мови
2541,https://tula-online.org/items/show/2541,https://tula-online.org/files/fullsize/32f0d2331afc1c39913212c21ec357dd.jpg,https://tula-online.org/files/original/909b84c99a63b23563cefeeda49d1d57.pdf,cover/2541.jpg,pdf/2541.pdf,Рідна Мова. Рік ІІІ. Березень 1935 року. Число 3 (27). С. 97-144 · TULA,Periodicals,огієнко іван,1935,N/A,Warszawa,друкарня оо. василіян у жовкві,48,Українська,Науково-популярний місячник / присвячений вивченню української мови
